descricao;meta
Servidor de Gmail profissional;Ter contas premium no nosso fornecedor de emails
Utilização do relatório de testes em projectos;100% do projectos que entraram para desenvolvimento
Utilização do Manual Coding Best Practices;Em 100% do trabalho executado
Utilização do Manual Documentação Standards;Em 100% do trabalho executado
Implementação de Continuous Integration;Plataforma Auctions, Public Sourcing
Planeamento de clientes;"100% dos projectos ter estimativas grosseiras; 100% dos projectos que estão ou estiveram em desenvolvimento terem planeamento actualizado."
Planeamentos internos;"100% dos projectos ter estimativas grosseiras; 100% dos projectos que estão ou estiveram em desenvolvimento terem planeamento actualizado."
Commit dos desenvolvimentos;2 vezes por semana
1ª Resposta de tickets S4;100% do SLA definido
1ª Resposta de tickets S3;90% do SLA definido
1º Resposta de tickets S2;85% do SLA definido
1ª Resposta de tickets S1;80% do SLA definido
Margem de erro em planeamentos;Trainee: 20%, Junior: 15%, Senior: 7,5%
NPAPI;Colocar em produção sistema laternativo do plugin do Java
Public Sourcing para InnoDB;Todas as tabelas estarem com InnoDB
Public Sourcing Cookie-Secure, Http Only;Public Sourcing ter em produção o Cookie-Secure  e o Http-only activos
4 horas de formação técnica;Ter registado de 4 horas com formação no tracker
Entrega dos relatórios mensais e semanais;Nas datas estipuladas
Média de entrega de novos relatórios;Inferior a 2 dias úteis
Diagrama de rede interno na CMDB;Todos os Serviços, sua configurações e relações entre CI's correctamente identificados
